Table,Code,USDA_tax,SSL_classification_name
C_O_SOIL_TAXONOMY,EORUS,Ustorthent,typic ustorthents
C_O_SOIL_TAXONOMY,EORXE,Xerorthent,typic xerorthents
C_O_SOIL_TAXONOMY,EPS,Psamment,typic psamments
C_O_SOIL_TAXONOMY,EPSCR,Cryopsamment,typic cryopsamments
C_O_SOIL_TAXONOMY,EPSQU,Quartzipsamment,typic quartzipsamments / ustic quartzipsamments
C_O_SOIL_TAXONOMY,EPSTO,Torripsamment,typic torripsamments
C_O_SOIL_TAXONOMY,EPSTR,Tropopsamment,typic tropopsamments
C_O_SOIL_TAXONOMY,EPSUD,Udipsamment,typic udipsamments
C_O_SOIL_TAXONOMY,EPSUS,Ustipsamment,typic ustipsamments
C_O_SOIL_TAXONOMY,EPSXE,Xeropsamment,typic xeropsamments
C_O_SOIL_TAXONOMY,H,Histosol,
C_O_SOIL_TAXONOMY,HFI,Fibrist,
C_O_SOIL_TAXONOMY,HFIBO,Borofibrist,typic borofibrists
C_O_SOIL_TAXONOMY,HFICR,Cryofibrist,typic cryofibrists
C_O_SOIL_TAXONOMY,HFILU,Luvifibrist,typic luvifibrists
C_O_SOIL_TAXONOMY,HFIME,Medifibrist,typic medifibrists
C_O_SOIL_TAXONOMY,HFISP,Sphagnofibrist,typic sphagnofibrists
C_O_SOIL_TAXONOMY,HFITR,Tropofibrist,typic tropofibrists
C_O_SOIL_TAXONOMY,HFO,Folist,
C_O_SOIL_TAXONOMY,HFOBO,Borofolist,typic borofolists
C_O_SOIL_TAXONOMY,HFOCR,Cryofolist,typic cryofolists
C_O_SOIL_TAXONOMY,HFOTR,Tropofolist,typic tropofolists
C_O_SOIL_TAXONOMY,HHE,Hemist,
C_O_SOIL_TAXONOMY,HHEBO,Borohemist,typic borohemists
C_O_SOIL_TAXONOMY,HHECR,Cryohemist,typic cryohemists
C_O_SOIL_TAXONOMY,HHELU,Luvihemist,typic luvihemists
C_O_SOIL_TAXONOMY,HHEME,Medihemist,typic medihemists
C_O_SOIL_TAXONOMY,HHESI,Sulfihemist,typic sulfihemists
C_O_SOIL_TAXONOMY,HHESO,Sulfohemist,typic sulfohemists
C_O_SOIL_TAXONOMY,HHETR,Tropohemist,typic tropohemists
C_O_SOIL_TAXONOMY,HSA,Saprist,
C_O_SOIL_TAXONOMY,HSABO,Borosaprist,typic borosaprists
C_O_SOIL_TAXONOMY,HSACR,Cryosaprist,typic cryosaprists
C_O_SOIL_TAXONOMY,HSAME,Medisaprist,typic medisaprists
C_O_SOIL_TAXONOMY,HSATR,Troposaprist,typic troposaprists
C_O_SOIL_TAXONOMY,I,Inceptisol,
C_O_SOIL_TAXONOMY,IAN,Andept,
C_O_SOIL_TAXONOMY,IANCR,Cryandept,typic cryandepts
C_O_SOIL_TAXONOMY,IANDU,Durandept,typic durandepts
C_O_SOIL_TAXONOMY,IANDY,Dystrandept,typic dystrandepts
C_O_SOIL_TAXONOMY,IANEU,Eutrandept,typic eutrandepts
C_O_SOIL_TAXONOMY,IANHY,Hydrandept,typic hydrandepts
C_O_SOIL_TAXONOMY,IANPK,Placandept,typic placandepts
C_O_SOIL_TAXONOMY,IANVI,Vitrandept,typic vitrandepts
C_O_SOIL_TAXONOMY,IAQ,Aqueot,
C_O_SOIL_TAXONOMY,IAQAN,Andaquept,typic andaquepts
C_O_SOIL_TAXONOMY,IAQCR,Cryaquept,typic cryaquepts
C_O_SOIL_TAXONOMY,IAQFR,Fragiaquept,typic fragiaquepts
C_O_SOIL_TAXONOMY,IAQHL,Halaquept,typic halaquepts
C_O_SOIL_TAXONOMY,IAQHP,Haplaquept,typic haplaquepts
C_O_SOIL_TAXONOMY,IAQHU,Humaquept,typic humaquepts
C_O_SOIL_TAXONOMY,IAQPK,Placaquept,typic placaquepts
C_O_SOIL_TAXONOMY,IAQPN,Plinthaquept,typic plinthaquepts
C_O_SOIL_TAXONOMY,IAQSU,Sulfaquept,typic sulfaquepts
C_O_SOIL_TAXONOMY,IAQTR,Tropaquept,typic tropaquepts
C_O_SOIL_TAXONOMY,IOC,Ochrept,
C_O_SOIL_TAXONOMY,IOCCR,Cryochrept,typic cryochrepts
C_O_SOIL_TAXONOMY,IOCDU,Durochrept,typic durochrepts
C_O_SOIL_TAXONOMY,IOCDY,Dystrochrept,typic dystrochrepts
C_O_SOIL_TAXONOMY,IOCEU,Eutrochrept,typic eutrochrepts
C_O_SOIL_TAXONOMY,IOCFR,Fragiochrept,typic fragiochrepts
C_O_SOIL_TAXONOMY,IOCUS,Ustochrept,typic ustochrepts
C_O_SOIL_TAXONOMY,IOCXF,Xerochrept,typic xerochrepts
C_O_SOIL_TAXONOMY,IPL,Plaggept,
C_O_SOIL_TAXONOMY,IPLPL,Plaggept,typic plaggepts
C_O_SOIL_TAXONOMY,ITR,Tropept,
C_O_SOIL_TAXONOMY,ITRDY,Dystropept,typic dystropepts
C_O_SOIL_TAXONOMY,ITREU,Eutropept,typic eutropepts
C_O_SOIL_TAXONOMY,ITRHU,Humitropept,typic humitropepts
C_O_SOIL_TAXONOMY,ITRSO,Sombritropept,typic sombritropepts
C_O_SOIL_TAXONOMY,ITRUS,Ustroept,typic ustroepts
C_O_SOIL_TAXONOMY,IUM,Umbrept,typic umbrepts
C_O_SOIL_TAXONOMY,IUMCR,Cryumbrept,typic cryumbrepts
C_O_SOIL_TAXONOMY,IUMFR,Fragiumbrept,typic fragiumbrepts
C_O_SOIL_TAXONOMY,IUMHA,Haplumbrept,typic haplumbrepts
C_O_SOIL_TAXONOMY,IUMXF,Xerumbrept,typic xerumbrepts
C_O_SOIL_TAXONOMY,M,Mollisol,
C_O_SOIL_TAXONOMY,MAL,Alboll,
C_O_SOIL_TAXONOMY,MALAR,Argialboll,typic argialbolls
C_O_SOIL_TAXONOMY,MALNA,Natralboll,typic natralbolls
C_O_SOIL_TAXONOMY,MAQ,Aquoll,typic aquolls
C_O_SOIL_TAXONOMY,MAQAR,Argiaquoll,typic argiaquolls
C_O_SOIL_TAXONOMY,MAQCA,Calciaquoll,typic calciaquolls
C_O_SOIL_TAXONOMY,MAQCR,Cryaquoll,typic cryaquolls
C_O_SOIL_TAXONOMY,MAQDU,Duraquoll,typic duraquolls
C_O_SOIL_TAXONOMY,MAQHA,Haplaquoll,typic haplaquolls
C_O_SOIL_TAXONOMY,MAQNA,Natraquoll,typic natraquolls
C_O_SOIL_TAXONOMY,MBO,Boroll,
C_O_SOIL_TAXONOMY,MBOAR,Argiboroll,typic argiborolls
C_O_SOIL_TAXONOMY,MBOCA,Calciboroll,typic calciborolls
C_O_SOIL_TAXONOMY,MBOCR,Cryoboroll,typic cryoborolls
C_O_SOIL_TAXONOMY,MBOHA,Haploboroll,typic haploborolls
C_O_SOIL_TAXONOMY,MBONA,Natriboroll,typic natriborolls
C_O_SOIL_TAXONOMY,MBOPA,Paleboroll,typic paleborolls
C_O_SOIL_TAXONOMY,MBOVE,Vermiboroll,typic vermiborolls
C_O_SOIL_TAXONOMY,MRE,Rendoll,typic rendolls
C_O_SOIL_TAXONOMY,MRERE,Rendoll,typic rendolls
C_O_SOIL_TAXONOMY,MUD,Udoll,
C_O_SOIL_TAXONOMY,MUDAR,Argiudoll,typic argiudolls
C_O_SOIL_TAXONOMY,MUDHA,Hapludoll,typic hapludolls
C_O_SOIL_TAXONOMY,MUDPA,Paleudoll,typic paleudolls
C_O_SOIL_TAXONOMY,MUDVE,Vermudoll,typic vermudolls
C_O_SOIL_TAXONOMY,MUS,Ustoll,
C_O_SOIL_TAXONOMY,MUSAR,Argiustoll,typic argiustolls
C_O_SOIL_TAXONOMY,MUSCA,Calciustoll,typic calciustolls
C_O_SOIL_TAXONOMY,MUSDU,Durustoll,typic durustolls
C_O_SOIL_TAXONOMY,MUSHA,Haplustoll,typic haplustolls
C_O_SOIL_TAXONOMY,MUSNA,Natrustoll,typic natrustolls
C_O_SOIL_TAXONOMY,MUSPA,Paleustoll,typic paleustolls
C_O_SOIL_TAXONOMY,MUSVE,Vermustoll,typic vermustolls
C_O_SOIL_TAXONOMY,MXE,Xeroll,
C_O_SOIL_TAXONOMY,MXEAR,Argixeroll,typic argixerolls
C_O_SOIL_TAXONOMY,MXECA,Calcixeroll,typic calcixerolls
C_O_SOIL_TAXONOMY,MXEDU,Durixeroll,typic durixerolls
C_O_SOIL_TAXONOMY,MXEHA,Haploxeroll,typic haploxerolls
C_O_SOIL_TAXONOMY,MXENA,Natrixeroll,typic natrixerolls
C_O_SOIL_TAXONOMY,MXEPA,Palexeroll,typic palexerolls
C_O_SOIL_TAXONOMY,O,Oxisol,
C_O_SOIL_TAXONOMY,OAQ,Aquox,typic aquoxs
C_O_SOIL_TAXONOMY,OAQAC,Aeraquox,typic aeraquoxs
C_O_SOIL_TAXONOMY,OAQPN,Plinthaquox,typic plinthaquoxs
C_O_SOIL_TAXONOMY,OAQUE,Eutraquox,typic eutraquoxs
C_O_SOIL_TAXONOMY,OAQUM,Umbraquox,typic umbraquoxs
C_O_SOIL_TAXONOMY,OPE,Perox,
C_O_SOIL_TAXONOMY,OPEAC,Acroperox,typic acroperoxs
C_O_SOIL_TAXONOMY,OPEEU,Eutroperox,typic eutroperoxs
C_O_SOIL_TAXONOMY,OPEHA,Haploperox,typic haploperoxs
C_O_SOIL_TAXONOMY,OPEKA,Kandiperox,typic kandiperoxs
C_O_SOIL_TAXONOMY,OPESO,Sombriperox,typic sombriperoxs
C_O_SOIL_TAXONOMY,OTO,Torrox,
C_O_SOIL_TAXONOMY,OTOAC,Aerotorox,typic aerotoroxs
C_O_SOIL_TAXONOMY,OTOEU,Eutrotorox,typic eutrotoroxs
C_O_SOIL_TAXONOMY,OTOHA,Haplotorox,typic haplotoroxs
C_O_SOIL_TAXONOMY,OUD,Udox,
C_O_SOIL_TAXONOMY,OUDAC,Aerudox,typic aerudoxs
C_O_SOIL_TAXONOMY,OUDEU,Eutrudox,typic eutrudoxs
C_O_SOIL_TAXONOMY,OUDHA,Hapludox,typic hapludoxs
C_O_SOIL_TAXONOMY,OUDKA,Kandiudox,typic kandiudoxs
C_O_SOIL_TAXONOMY,OUDSO,Sombriudox,typic sombriudoxs
C_O_SOIL_TAXONOMY,OUS,Ustox,
C_O_SOIL_TAXONOMY,OUSAC,Acrustox,typic acrustoxs
C_O_SOIL_TAXONOMY,OUSEU,Eutrustox,typic eutrustoxs
C_O_SOIL_TAXONOMY,OUSHA,Haplustox,typic haplustoxs
C_O_SOIL_TAXONOMY,OUSKA,Kandiustox,typic kandiustoxs
C_O_SOIL_TAXONOMY,OUSSO,Sombriustox,typic sombriustoxs
C_O_SOIL_TAXONOMY,S,Spodosol,
C_O_SOIL_TAXONOMY,SAQ,Aquod,
C_O_SOIL_TAXONOMY,SAQCR,Cryaquod,typic cryaquods
C_O_SOIL_TAXONOMY,SAQDU,Duraquod,typic duraquods
C_O_SOIL_TAXONOMY,SAQFR,Fragiaquod,typic fragiaquods
C_O_SOIL_TAXONOMY,SAQHA,Haplaquod,typic haplaquods
C_O_SOIL_TAXONOMY,SAQPK,Placaquod,typic placaquods
C_O_SOIL_TAXONOMY,SAQSI,Sideraquod,typic sideraquods
C_O_SOIL_TAXONOMY,SAQTR,Tropaquod,typic tropaquods
C_O_SOIL_TAXONOMY,SFE,Ferrod,
C_O_SOIL_TAXONOMY,SFEFE,Ferrod,typic ferrods
C_O_SOIL_TAXONOMY,SHU,Humod,
C_O_SOIL_TAXONOMY,SHUCR,Cryohumod,typic cryohumods
C_O_SOIL_TAXONOMY,SHUFR,Fragihumod,typic fragihumods
C_O_SOIL_TAXONOMY,SHUHA,Haplohumod,typic haplohumods
C_O_SOIL_TAXONOMY,SHUPK,Placohumod,typic placohumods
