tax,Count,CSSC_Class,SSL_classification_name
solonetzic gray luvisol luvisol,202,Solonetzic Gray Luvisol,Boralfs
sombric brunisol,201,Orthic Sombric Brunisol,Humbric Dystrochrepts
orthic turbic cryosol,201,Orthic Eutric Turbic Cryosol,Turbels
dark brown solodized solonetz solonetz,200,Dark Brown Solodized Solonetz,Natraqualf / Natrustoll
brown solidized solonetz solonetz,190,Brown Solodized Solonetz,Natraqualf / Natrustoll
brunisolic turbic cryosol,187,Brunisolic Dystric Turbic Cryosol,Turbels
rego dark brown chernozem,180,Rego Dark Brown Chernozem,Typic Boroll
gleyed cumulous rego regosol,162,Gleyed Cumulic Regosol,Orthents / Orthels
calcareous dark gray chernozem,160,Calcareous Dark Gray Chernozem,Boralfic Boroll / Albolls
gleyed dystric brunisol,155,Gleyed Dystric Brunisol,Dystrochrepts / Cryochrepts
gleyed black chernozem,154,Gleyed Black Chernozem,Udic Boroll
orthic sombric brunisol,154,Orthic Sombric Brunisol,Humbric Dystrochrepts
calcareous brown chernozem,153,Calcareous Brown Chernozem,Aridic Boroll
gleyed gray brown luvisol,153,Gleyed Gray Brown Luvisol,Hapludalfs / Glossudalfs
gleyed eluviated eutric brunisol,150,Gleyed Eluviated Eutric Brunisol,Cryochrepts / Eutrochrepts
brown solod solonetz,147,Brown Solod,Glossic Natriborolls / Natralbolls
regosolic static cryosol,140,Regosolic Static Cryosol,Orthels
rego brown chernozem,136,Rego Brown Chernozem,Aridic Boroll
gleyed eutric brunisol,135,Gleyed Eutric Brunisol,Cryochrepts / Eutrochrepts
rego dark gray chernozem,134,Rego Dark Gray Chernozem,Boralfic Boroll / Albolls
mesic organic cryosol,133,Mesic Organic Cryosol,Histels
dark gray solod solonetz,121,Dark Gray Solod,Glossic Natriborolls / Natralbolls
fibric organic cryosol,118,Fibric Organic Cryosol,Histels
dark solodized solonetz,110,Dark Brown Solodized Solonetz,Natraqualf / Natrustoll
solonetzic brown chernozem,106,Solonetzic Brown Chernozem,Aridic Boroll
typic mesisol organic,106,Typic Mesisol,Hemists
gleyed ferro-humic podzol,105,Gleyed Ferro-Humic Podzol,Humic Cryorthods / Humic Haplorthods
gleyed brunisolic gray brown luvisol,104,Gleyed Brunisolic Gray Brown Luvisol,Hapludalfs / Glossudalfs
dark brown solonetz solonetz,100,Dark Brown Solonetz,Natraqualf / Natrustoll
gleyed rego black chernozem,98,Gleyed Rego Black Chernozem,Udic Boroll
black solodized solonetz,95,Black Solodized Solonetz,Natraqualf / Natrustoll
gleyed brunisolic gray luvisol luvisol,92,Gleyed Brunisolic Gray Luvisol,Boralfs
terric fibrisol organic,92,Terric Fibrisol,Fibrists
gleyed eluviated black chernozem,91,Gleyed Eluviated Black Chernozem,Udic Boroll
gleyed sombric brunisol,89,Gleyed Sombric Brunisol,Humbric Dystrochrepts
gleysolic static cryosol,89,Gleysolic Static Cryosol,Orthels
solodic dark brown chernozem,88,Solonetzic Dark Brown Chernozem,Typic Boroll
black solidized solonetz solonetz,86,Black Solodized Solonetz,Natraqualf / Natrustoll
regosolic turbic cryosol,85,Regosolic Turbic Cryosol,Turbels
gray solodized solonetz,84,Gray Solodized Solonetz,Natraqualf / Natrustoll
gleyed solod solonetz,83,Gleyed Solonetzic Gray Luvisol,Boralfs
solod solonetz,81,Dark Gray Solod,Glossic Natriborolls / Natralbolls
orthic sombric brunisol,80,Orthic Sombric Brunisol,Humbric Dystrochrepts
brunisolic eutric static cryosol,79,Brunisolic Eutric Static Cryosol,Orthels
gleyed humic regosol,79,Gleyed Humic Regosol,Orthents / Humods
brunisolic static cryosol,78,Brunisolic Eutric Static Cryosol,Orthels
orthic   regosol,78,Orthic Regosol,Orthents / Orthels
dark solod solonetz,76,Dark Brown Solod,Glossic Natriborolls / Natralbolls
eluviated brown chernozem,75,Eluviated Brown Chernozem,Aridic Boroll
humic podzol,74,Orthic Humic Podzol,Cryaquods / Humods
duric ferro-humic podzol,73,Duric Ferro-Humic Podzol,Humic Cryorthods / Humic Haplorthods
fera gleysol gleysol,72,Fera Gleysol,Aquents / Fluvents / Aquepts
gleyed rego dark gray chernozem,72,Gleyed Rego Dark Gray Chernozem,Boralfic Boroll / Albolls
typic fibrisol organic,72,Typic Fibrisol,Fibrists
luvisolic humo-ferric podzol,71,Luvisolic Humo-Ferric Podzol,Cryorthods / Haplorthods
orthic vertisol vertisol,70,Orthic Vertisol,Haplocryerts
black solod solonetz,69,Black Solodized Solonetz,Natraqualf / Natrustoll
cumulic   regosol,68,Cumulic Regosol,Orthents / Orthels
gleyed regosol regosol,68,Gleyed Regosol,Orthents / Orthels
orthic  dystric brunisol,68,Orthic Dystric Brunisol,Dystrochrepts / Cryochrepts
black solonetz solonetz,67,Black Solonetz,Natraqualf / Natrustoll
sombric humo-ferric podzol,63,Sombric Humo-Ferric Podzol,Cryorthods / Haplorthods
gleysolic turbic cryosol,61,Gleysolic Turbic Cryosol,Turbels
gray solod solonetz,61,Gray Solod,Glossic Natriborolls / Natralbolls
gleyed dark gray gray luvisol,54,Gleyed Dark Gray Luvisol,Boralfs
orthic solodized solonetz solonetz,54,Brown Solodized Solonetz,Natraqualf / Natrustoll
dark gray solodized solonetz solonetz,53,Gleyed Dark Gray Solodized Solonetz,Natraqualf / Natrustoll
podzolic gray luvisol luvisol,53,Podzolic Gray Luvisol,Boralfs
solodic brown chernozem,52,Solonetzic Brown Chernozem,Aridic Boroll
solonetzic dark brown chernozem,52,Solonetzic Dark Brown Chernozem,Typic Boroll
gleyed rego rego regosol,50,Gleyed Regosol,Orthents / Orthels
fibric mesisol organic,49,Fibric Mesisol,Hemists
gleyed solodized solonetz,49,,#N/A
brown solonetz solonetz,47,Brown Solonetz,Natraqualf / Natrustoll
gleyed cumulous humic regosol,46,Gleyed Cumulic Humic Regosol,Orthents / Humods
orthic humic podzol,45,Orthic Humic Podzol,Cryaquods / Humods
orthic sombric brunisol brunisol,42,Orthic Sombric Brunisol,Humbric Dystrochrepts
orthic  humo-ferric  podzol,37,Orthic Humo-Ferric Podzol,Cryorthods / Haplorthods
brown solodized solonetz,36,Brown Solodized Solonetz,Natraqualf / Natrustoll
orthic static cryosol,35,Orthic Eutric Static Cryosol,Orthels
duric dystric brunisol,34,Duric Dystric Brunisol,Dystrochrepts / Cryochrepts
orthic   gleysol,34,Orthic Gleysol,Aquents / Fluvents / Aquepts
solonetzic black chernozem,34,Solonetzic Black Chernozem,Udic Boroll
dark brown solod solonetz,33,Dark Brown Solod,Glossic Natriborolls / Natralbolls
mesic fibrisol organic,32,Mesic Fibrisol,Fibrists
sombric ferro-humic podzol,32,Sombric Ferro-Humic Podzol,Humic Cryorthods / Humic Haplorthods
terric humisol organic,32,Terric Humisol,Saprists
gleyed podzolic gray luvisol,31,Gleyed Podzolic Gray Luvisol,Boralfs
eluviated sombric brunisol brunisol,30,Eluviated Sombric Brunisol,Humbric Dystrochrepts
humic mesisol organic,29,Humic Mesisol,Hemists
gleyed melanic brunisol,28,Gleyed Melanic Brunisol,Cryochrepts / Eutrochrepts / Hapludolls
orthic  regosol regosol,28,Orthic Regosol,Orthents / Orthels
typic humisol organic,28,Typic Humisol,Saprists
dark gray solodized solonetz,27,Dark Gray Solodized Solonetz,Natraqualf / Natrustoll
gleyed dark gray solodized solonetz solonetz,25,Gleyed Dark Gray Solodized Solonetz,Natraqualf / Natrustoll
gleyed gray solod solonetz,25,Gleyed Gray Solod,Glossic Natriborolls / Natralbolls
orthic dystric turbic cryosol,22,Orthic Dystric Turbic Cryosol,Turbels
humic fibrisol organic,20,Humic Fibrisol,Fibrists
eluviated melanic brunisol,19,Eluviated Melanic Brunisol,Cryochrepts / Eutrochrepts / Hapludolls
gleyed solonetzic dark gray chernozem,19,Gleyed Solonetzic Dark Gray Chernozem,Boralfic Boroll / Albolls
cumulic rego chernozem,18,,#N/A
gleyed cumulic regosol,18,Gleyed Cumulic Regosol,Orthents / Orthels
gleyed sombric brunisol,18,Gleyed Sombric Brunisol,Humbric Dystrochrepts
terric organic cryosol,18,Terric Fibric Organic Cryosol,Histels
eluviated dark gray chernozem,17,Eluviated Dark Brown Chernozem,Typic Boroll
eluviated sombric brunisol,17,Eluviated Sombric Brunisol,Humbric Dystrochrepts
rego   gleysol,17,Rego Gleysol,Aquents / Fluvents / Aquepts
gleyed  sombric  brunisol,16,Gleyed Sombric Brunisol,Humbric Dystrochrepts
gleyed eluviated dark brown chernozem,16,Gleyed Eluviated Dark Brown Chernozem,Typic Boroll
eluviated   dystric  brunisol,15,Eluviated Dystric Brunisol,Dystrochrepts / Cryochrepts
orthic  humo-ferric brunisol,15,Orthic Melanic Brunisol,Cryochrepts / Eutrochrepts / Hapludolls
typic folisol organic,15,Humic Folisol,Folists
orthic  dystric  brunisol,14,Orthic Dystric Brunisol,Dystrochrepts / Cryochrepts
solonetzic luvic gleysol,14,Solonetzic Luvic Gleysol,Argialbolls / Argiaquolls / Aqualfs
folisol organic,13,Humic Folisol,Folists
brunisolic eutric turbic cryosol,13,Brunisolic Eutric Turbic Cryosol,Turbels
hydric fibrisol organic,13,Hydric Fibrisol,Fibrists
humic  gleysol,12,Orthic Humic Gleysol,Aquolls / Humaquepts
brunisolic dystric turbic cryosol,12,Brunisolic Dystric Turbic Cryosol,Turbels
histic regosolic static cryosol,12,Histic Regosolic Static Cryosol,Orthels
humic organic cryosol,12,Humic Organic Cryosol,Histels
mesic humisol organic,12,Mesic Humisol,Saprists
orthic no data chernozem,12,Orthic Brown Chernozem,Aridic Boroll
ortstein ferro-humic podzol,12,Orthic Ferro-Humic Podzol,Humic Cryorthods / Humic Haplorthods
placic humo-ferric podzol,12,Placic Humo-Ferric Podzol,Cryorthods / Haplorthods
duric humo-ferric podzol,11,Duric Humo-Ferric Podzol,Cryorthods / Haplorthods
fera luvic gleysol,11,Fera Luvic Gleysol,Argialbolls / Argiaquolls / Aqualfs
gray gleyed solod solonetz,11,,#N/A
histic static cryosol,11,Histic Dystric Static Cryosol,Orthels
gleyed calcareous brown chernozem,10,Gleyed Gray Solodized Solonetz,Natraqualf / Natrustoll
gleyed gray solodized solonetz,10,Gleyed Gray Solodized Solonetz,Natraqualf / Natrustoll
orthic dystric static cryosol,10,Orthic Dystric Static Cryosol,Orthels
terric fibric organic,10,Terric Fibric Organic Cryosol,Histels
terric fibric organic cryosol,10,Terric Fibric Organic Cryosol,Histels
