"","WRB4","count"
"Rustic Podzols","Rustic Podzols",4298
"Sapric Histosols","Sapric Histosols",1043
"Sideralic Arenosols","Sideralic Arenosols",56
"Solonchaks","Solonchaks",616
"Solonetz","Solonetz",91
"Spodic Cryosols","Spodic Cryosols",7
"Stagnic Solonetz","Stagnic Solonetz",196
"Sulfidic Gleysols","Sulfidic Gleysols",49
"Technosols","Technosols",1050
"Thionic Gleysols","Thionic Gleysols",483
"Thionic Histosols","Thionic Histosols",91
"Tonguic Chernozems","Tonguic Chernozems",63
"Umbric Andosols","Umbric Andosols",791
"Umbric Ferrasols","Umbric Ferrasols",798
"Umbric Gleysols","Umbric Gleysols",2121
"Umbric Leptosols","Umbric Leptosols",1638
"Umbric Planosols","Umbric Planosols",70
"Vertic Cambisols","Vertic Cambisols",1505
"Vertic Luvisols","Vertic Luvisols",518
"Vertisols","Vertisols",2044
"Vitric Andosols","Vitric Andosols",798
"Xanthic  Ferrasols","Xanthic  Ferrasols",2065
"NA's","NA's",30497
