"","WRB","count"
"Albic Planosol Epiesqueletic","Albic Planosol Epiesqueletic",1
"Albic Plinthosol Abruptic","Albic Plinthosol Abruptic",1
"Albic Podzol","Albic Podzol",3
"Albic Solonetz","Albic Solonetz",10
"Albic Solonetz Hiposalic","Albic Solonetz Hiposalic",1
"Albic Umbrisol Epiesqueletic","Albic Umbrisol Epiesqueletic",1
"Albic,Abrupti Acrisol Ferric","Albic,Abrupti Acrisol Ferric",1
"Albic,Arenic Luvisol","Albic,Arenic Luvisol",1
"Albic,Arenic Planosol","Albic,Arenic Planosol",1
"Albic,Cutani Luvisol","Albic,Cutani Luvisol",2
"Albic,Cutani Luvisol Dystric","Albic,Cutani Luvisol Dystric",1
"Albic,Cutani Luvisol Epidystric","Albic,Cutani Luvisol Epidystric",1
"Albic,Cutanic Luvisol Humic,Greyic","Albic,Cutanic Luvisol Humic,Greyic",1
"Albic,Cutanic,Albic,Cutani Luvisol Alumic,Humic,Hyperdystric,Clayic","Albic,Cutanic,Albic,Cutani Luvisol Alumic,Humic,Hyperdystric,Clayic",1
"Albic,Cutanic,Profondi,Albic Luvisol Greyic,Profondic,Cutanic,Siltic","Albic,Cutanic,Profondi,Albic Luvisol Greyic,Profondic,Cutanic,Siltic",1
"Albic,Endopetric Plinthosol","Albic,Endopetric Plinthosol",5
"Albic,Endosodic Planosol","Albic,Endosodic Planosol",2
"Albic,Ferralic Arenosol Dystric,Arenic,Xanthic","Albic,Ferralic Arenosol Dystric,Arenic,Xanthic",1
"Albic,Gleyic Arenosol","Albic,Gleyic Arenosol",1
"Albic,Gleyic,Albi,Gleyic Luvisol Ferric,Ruptic,Ferric,Siltic","Albic,Gleyic,Albi,Gleyic Luvisol Ferric,Ruptic,Ferric,Siltic",1
"Albic,Haplic Podzol","Albic,Haplic Podzol",1
"Albic,Haplic Podzol Ruptic","Albic,Haplic Podzol Ruptic",1
"Albic,Hyperalbic,Dystri Arenosol Dystric","Albic,Hyperalbic,Dystri Arenosol Dystric",1
"Albic,Hyperalbic,Epidystri Arenosol Dystric","Albic,Hyperalbic,Epidystri Arenosol Dystric",1
"Albic,Hypoluvic Arenosol","Albic,Hypoluvic Arenosol",1
"Albic,Hyposodic Planosol","Albic,Hyposodic Planosol",4
"Albic,Paraplinthic Arenosol","Albic,Paraplinthic Arenosol",6
"Albic,Plinthic Arenosol","Albic,Plinthic Arenosol",1
"Albic,Profondi Luvisol Cutanic,Hyperdystric","Albic,Profondi Luvisol Cutanic,Hyperdystric",1
"Albic,Silti Luvisol Haplic","Albic,Silti Luvisol Haplic",1
"Albic,Sodic Planosol","Albic,Sodic Planosol",1
"Alcalic Arenosol Hiposodic","Alcalic Arenosol Hiposodic",1
"Alcalic Calcisol","Alcalic Calcisol",2
"Alcalic Gleysol Hiposodic","Alcalic Gleysol Hiposodic",1
"Alcalic Regosol Aridic","Alcalic Regosol Aridic",1
"Alcalic Regosol Hiposodic","Alcalic Regosol Hiposodic",1
"Alcalic Solonetz Albic","Alcalic Solonetz Albic",1
"Alcalic Solonetz Aridic","Alcalic Solonetz Aridic",2
"Alcalic Solonetz Calcic","Alcalic Solonetz Calcic",3
"Alcalic Solonetz Epipetrocalcic","Alcalic Solonetz Epipetrocalcic",1
"Alcalic Solonetz Epipetroduric","Alcalic Solonetz Epipetroduric",1
"Alcalic Solonetz Gipsic","Alcalic Solonetz Gipsic",1
"Alcalic Solonetz Hipersodic","Alcalic Solonetz Hipersodic",2
"Alcalic Vertisol Hiposodic","Alcalic Vertisol Hiposodic",1
"Ali,Acri,Luvi Lixisol","Ali,Acri,Luvi Lixisol",1
"Alic Nitisol","Alic Nitisol",1
"Alic,Alic,Umbric,Umbri Planosol Albic,Clayic,Albic","Alic,Alic,Umbric,Umbri Planosol Albic,Clayic,Albic",1
"Alic,Folic,Albi,Alic Planosol Albic,Dystric,Dystric","Alic,Folic,Albi,Alic Planosol Albic,Dystric,Dystric",1
"Alic,Umbric Nitisol","Alic,Umbric Nitisol",1
"Alisol","Alisol",405
"Aluandic,Silic,Silandic,Hyperdystri Andosol Hyperdystric","Aluandic,Silic,Silandic,Hyperdystri Andosol Hyperdystric",1
"Alumic Acrisol","Alumic Acrisol",1
"Alumic,Fluvic Gleysol Alumic","Alumic,Fluvic Gleysol Alumic",1
"Alumic,Haplic Acrisol Alumic","Alumic,Haplic Acrisol Alumic",1
"Alumic,Haplic,Chromi Acrisol Alumic,Chromic","Alumic,Haplic,Chromi Acrisol Alumic,Chromic",2
"Alumic,Haplic,Chromi Acrisol Alumic,Clayic,Chromic","Alumic,Haplic,Chromi Acrisol Alumic,Clayic,Chromic",1
"Alumic,Haplic,Rhodi Ferralsol Alumic,Clayic,Rhodic","Alumic,Haplic,Rhodi Ferralsol Alumic,Clayic,Rhodic",1
"Alumic,Humic Acrisol","Alumic,Humic Acrisol",1
"Alumic,Humic Ferralsol","Alumic,Humic Ferralsol",4
"Alumic,Humic Umbrisol","Alumic,Humic Umbrisol",1
"Andic Cambisol Humic","Andic Cambisol Humic",2
"Andic Nitisol","Andic Nitisol",1
"Andosol","Andosol",268
"Anthrosol","Anthrosol",243
"Arenic Acrisol Abruptic","Arenic Acrisol Abruptic",1
"Arenic Calcisol","Arenic Calcisol",3
"Arenic Calcisol Aridic","Arenic Calcisol Aridic",6
"Arenic Cambisol Aridic","Arenic Cambisol Aridic",1
"Arenic Cambisol Endoesqueletic","Arenic Cambisol Endoesqueletic",1
"Arenic Cambisol Hiposodic","Arenic Cambisol Hiposodic",3
"Arenic Fluvisol","Arenic Fluvisol",1
"Arenic Fluvisol Aridic","Arenic Fluvisol Aridic",2
"Arenic Fluvisol Calcaric","Arenic Fluvisol Calcaric",2
"Arenic Fluvisol Epiesqueletic","Arenic Fluvisol Epiesqueletic",2
"Arenic Fluvisol Esqueletic","Arenic Fluvisol Esqueletic",1
"Arenic Fluvisol Eutric","Arenic Fluvisol Eutric",5
"Arenic Fluvisol Hiposodic","Arenic Fluvisol Hiposodic",3
"Arenic Gleysol Stagnic","Arenic Gleysol Stagnic",1
"Arenic Lixisol","Arenic Lixisol",2
"Arenic Luvisol","Arenic Luvisol",3
"Arenic Luvisol Abruptic","Arenic Luvisol Abruptic",5
"Arenic Luvisol Aridic","Arenic Luvisol Aridic",1
"Arenic Phaeozem","Arenic Phaeozem",2
"Arenic Regosol","Arenic Regosol",4
"Arenic Regosol Aridic","Arenic Regosol Aridic",9
"Arenic Regosol Calcaric","Arenic Regosol Calcaric",17
"Arenic Regosol Distric","Arenic Regosol Distric",1
"Arenic Regosol Epiesqueletic","Arenic Regosol Epiesqueletic",1
"Arenic Regosol Esqueletic","Arenic Regosol Esqueletic",5
"Arenic Regosol Eutric","Arenic Regosol Eutric",3
"Arenic Regosol Hiposodic","Arenic Regosol Hiposodic",10
"Arenic Regosol Humic","Arenic Regosol Humic",2
"Arenic Regosol Tefric","Arenic Regosol Tefric",1
"Arenic Umbrisol","Arenic Umbrisol",1
"Arenic Umbrisol Humic","Arenic Umbrisol Humic",1
"Arenic,Acric Ferralsol Xanthic","Arenic,Acric Ferralsol Xanthic",1
"Arenic,Calcic Luvisol","Arenic,Calcic Luvisol",2
"Arenic,Cutanic,Albi Luvisol Ruptic,Hyposodic,Hyperochric,Hyposodic,Arenic,Cutanic","Arenic,Cutanic,Albi Luvisol Ruptic,Hyposodic,Hyperochric,Hyposodic,Arenic,Cutanic",1
"Arenic,Endoleptic Regosol","Arenic,Endoleptic Regosol",1
"Arenic,Endoskeletic Calcisol","Arenic,Endoskeletic Calcisol",1
"Arenic,Ferric Lixisol","Arenic,Ferric Lixisol",1
"Arenic,Geric,Geri Ferralsol Dystric,Arenic,Xanthic,Xanthic","Arenic,Geric,Geri Ferralsol Dystric,Arenic,Xanthic,Xanthic",1
"Arenic,Gleyic Fluvisol","Arenic,Gleyic Fluvisol",2
"Arenic,Gleyic Luvisol","Arenic,Gleyic Luvisol",1
"Arenic,Gleyic Phaeozem","Arenic,Gleyic Phaeozem",1
"Arenic,Gleyic Solonetz","Arenic,Gleyic Solonetz",1
"Arenic,Gleyic Umbrisol","Arenic,Gleyic Umbrisol",1
"Arenic,Haplic,Albi Acrisol Albic,Alumic,Humic,Humic,Alumic","Arenic,Haplic,Albi Acrisol Albic,Alumic,Humic,Humic,Alumic",1
