"","WRB","count"
"Endoleptic Chernozem Hipocalcic","Endoleptic Chernozem Hipocalcic",1
"Endoleptic Chernozem Luvic","Endoleptic Chernozem Luvic",2
"Endoleptic Chernozem Vertic","Endoleptic Chernozem Vertic",2
"Endoleptic Gypsisol Hiposodic","Endoleptic Gypsisol Hiposodic",1
"Endoleptic Kastanozem","Endoleptic Kastanozem",1
"Endoleptic Kastanozem Calcic","Endoleptic Kastanozem Calcic",2
"Endoleptic Kastanozem Cromic","Endoleptic Kastanozem Cromic",1
"Endoleptic Kastanozem Esqueletic","Endoleptic Kastanozem Esqueletic",1
"Endoleptic Kastanozem Luvic","Endoleptic Kastanozem Luvic",1
"Endoleptic Lixisol","Endoleptic Lixisol",1
"Endoleptic Lixisol Abruptic","Endoleptic Lixisol Abruptic",1
"Endoleptic Lixisol Hiposodic","Endoleptic Lixisol Hiposodic",1
"Endoleptic Lixisol Humic","Endoleptic Lixisol Humic",3
"Endoleptic Lixisol Rodic","Endoleptic Lixisol Rodic",1
"Endoleptic Luvisol","Endoleptic Luvisol",6
"Endoleptic Luvisol Abruptic","Endoleptic Luvisol Abruptic",18
"Endoleptic Luvisol Albic","Endoleptic Luvisol Albic",3
"Endoleptic Luvisol Aridic","Endoleptic Luvisol Aridic",8
"Endoleptic Luvisol Calcaric","Endoleptic Luvisol Calcaric",1
"Endoleptic Luvisol Cromic","Endoleptic Luvisol Cromic",6
"Endoleptic Luvisol Cutanic","Endoleptic Luvisol Cutanic",7
"Endoleptic Luvisol Distric","Endoleptic Luvisol Distric",6
"Endoleptic Luvisol Endoesqueletic","Endoleptic Luvisol Endoesqueletic",1
"Endoleptic Luvisol Epiesqueletic","Endoleptic Luvisol Epiesqueletic",8
"Endoleptic Luvisol Esqueletic","Endoleptic Luvisol Esqueletic",19
"Endoleptic Luvisol Eutric","Endoleptic Luvisol Eutric",1
"Endoleptic Luvisol Hipersodic","Endoleptic Luvisol Hipersodic",2
"Endoleptic Luvisol Hiposodic","Endoleptic Luvisol Hiposodic",2
"Endoleptic Luvisol Humic","Endoleptic Luvisol Humic",24
"Endoleptic Luvisol Molic","Endoleptic Luvisol Molic",1
"Endoleptic Luvisol Ortidistric","Endoleptic Luvisol Ortidistric",1
"Endoleptic Luvisol Profondic","Endoleptic Luvisol Profondic",1
"Endoleptic Luvisol Rodic","Endoleptic Luvisol Rodic",1
"Endoleptic Luvisol Siltic","Endoleptic Luvisol Siltic",1
"Endoleptic Luvisol Sodic","Endoleptic Luvisol Sodic",3
"Endoleptic Luvisol Umbric","Endoleptic Luvisol Umbric",10
"Endoleptic Luvisol Umbrihumic","Endoleptic Luvisol Umbrihumic",1
"Endoleptic Luvisol Vertic","Endoleptic Luvisol Vertic",12
"Endoleptic Phaeozem","Endoleptic Phaeozem",7
"Endoleptic Phaeozem Abruptic","Endoleptic Phaeozem Abruptic",2
"Endoleptic Phaeozem Calcaric","Endoleptic Phaeozem Calcaric",4
"Endoleptic Phaeozem Cromic","Endoleptic Phaeozem Cromic",1
"Endoleptic Phaeozem Endoesqueletic","Endoleptic Phaeozem Endoesqueletic",1
"Endoleptic Phaeozem Esqueletic","Endoleptic Phaeozem Esqueletic",11
"Endoleptic Phaeozem Humic","Endoleptic Phaeozem Humic",35
"Endoleptic Phaeozem Luvic","Endoleptic Phaeozem Luvic",39
"Endoleptic Phaeozem Paquic","Endoleptic Phaeozem Paquic",1
"Endoleptic Phaeozem Vertic","Endoleptic Phaeozem Vertic",7
"Endoleptic Planosol Albic","Endoleptic Planosol Albic",1
"Endoleptic Planosol Distric","Endoleptic Planosol Distric",1
"Endoleptic Planosol Endoesqueletic","Endoleptic Planosol Endoesqueletic",1
"Endoleptic Planosol Epiesqueletic","Endoleptic Planosol Epiesqueletic",1
"Endoleptic Planosol Esqueletic","Endoleptic Planosol Esqueletic",1
"Endoleptic Planosol Luvic","Endoleptic Planosol Luvic",3
"Endoleptic Planosol Molic","Endoleptic Planosol Molic",1
"Endoleptic Planosol Salic","Endoleptic Planosol Salic",1
"Endoleptic Planosol Vertic","Endoleptic Planosol Vertic",1
"Endoleptic Plinthosol Stagnic","Endoleptic Plinthosol Stagnic",1
"Endoleptic Regosol Arenic","Endoleptic Regosol Arenic",17
"Endoleptic Regosol Aridic","Endoleptic Regosol Aridic",4
"Endoleptic Regosol Calcaric","Endoleptic Regosol Calcaric",10
"Endoleptic Regosol Distric","Endoleptic Regosol Distric",5
"Endoleptic Regosol Endoesqueletic","Endoleptic Regosol Endoesqueletic",1
"Endoleptic Regosol Epiesqueletic","Endoleptic Regosol Epiesqueletic",4
"Endoleptic Regosol Esqueletic","Endoleptic Regosol Esqueletic",11
"Endoleptic Regosol Eutric","Endoleptic Regosol Eutric",5
"Endoleptic Regosol Hiperdistric","Endoleptic Regosol Hiperdistric",1
"Endoleptic Regosol Hipereutric","Endoleptic Regosol Hipereutric",1
"Endoleptic Regosol Hipersodic","Endoleptic Regosol Hipersodic",3
"Endoleptic Regosol Hiposodic","Endoleptic Regosol Hiposodic",3
"Endoleptic Regosol Humic","Endoleptic Regosol Humic",9
"Endoleptic Regosol Sodic","Endoleptic Regosol Sodic",5
"Endoleptic Solonchak Hipersodic","Endoleptic Solonchak Hipersodic",1
"Endoleptic Solonetz Aridic","Endoleptic Solonetz Aridic",1
"Endoleptic Umbrisol","Endoleptic Umbrisol",1
"Endoleptic Umbrisol Esqueletic","Endoleptic Umbrisol Esqueletic",2
"Endoleptic Umbrisol Hiperdistric","Endoleptic Umbrisol Hiperdistric",1
"Endoleptic Umbrisol Humic","Endoleptic Umbrisol Humic",14
"Endoleptic Umbrisol Paquic","Endoleptic Umbrisol Paquic",1
"Endoleptic Umbrisol Vertic","Endoleptic Umbrisol Vertic",1
"Endoleptic Vertisol Calcaric","Endoleptic Vertisol Calcaric",2
"Endoleptic Vertisol Cromic","Endoleptic Vertisol Cromic",1
"Endoleptic Vertisol Endogleyic","Endoleptic Vertisol Endogleyic",1
"Endoleptic Vertisol Epiesqueletic","Endoleptic Vertisol Epiesqueletic",3
"Endoleptic Vertisol Esqueletic","Endoleptic Vertisol Esqueletic",3
"Endoleptic Vertisol Gleyic","Endoleptic Vertisol Gleyic",1
"Endoleptic Vertisol Hipersodic","Endoleptic Vertisol Hipersodic",3
"Endoleptic Vertisol Hipocalcic","Endoleptic Vertisol Hipocalcic",1
"Endoleptic Vertisol Hipogleyic","Endoleptic Vertisol Hipogleyic",1
"Endoleptic Vertisol Hiposalic","Endoleptic Vertisol Hiposalic",1
"Endoleptic Vertisol Hiposodic","Endoleptic Vertisol Hiposodic",1
"Endoleptic Vertisol Humic","Endoleptic Vertisol Humic",9
"Endoleptic Vertisol Mesotrofic","Endoleptic Vertisol Mesotrofic",1
"Endoleptic Vertisol Ortieutric","Endoleptic Vertisol Ortieutric",1
"Endoleptic Vertisol Pelic","Endoleptic Vertisol Pelic",2
"Endoleptic Vertisol Sodic","Endoleptic Vertisol Sodic",3
"Endoleptic,Arenic Phaeozem","Endoleptic,Arenic Phaeozem",1
"Endoleptic,Cutanic,Cutani,Endoleptic,Umbric Luvisol Humic,Epidystric","Endoleptic,Cutanic,Cutani,Endoleptic,Umbric Luvisol Humic,Epidystric",1
"Endoleptic,Cutanic,Endoleptic,Cutani Luvisol Ruptic,Siltic,Clayic,Dystric","Endoleptic,Cutanic,Endoleptic,Cutani Luvisol Ruptic,Siltic,Clayic,Dystric",1
"Endoleptic,Cutanic,Leptic,Cutani Luvisol Ruptic,Humic,Siltic","Endoleptic,Cutanic,Leptic,Cutani Luvisol Ruptic,Humic,Siltic",1
"Endoleptic,Endoleptic,Calcari Cambisol Calcaric,Clayic,Chromic,Chromic","Endoleptic,Endoleptic,Calcari Cambisol Calcaric,Clayic,Chromic,Chromic",1
"Endoleptic,Endoleptic,Dystri Cambisol Alumic,Humic","Endoleptic,Endoleptic,Dystri Cambisol Alumic,Humic",1
"Endoleptic,Endoleptic,Ferrali Cambisol Alumic,Humic,Skeletic,Hyperdystric","Endoleptic,Endoleptic,Ferrali Cambisol Alumic,Humic,Skeletic,Hyperdystric",1
"Endoleptic,Endoleptic,Ferralic,Ferrali Cambisol Skeletic,Clayic,Rhodic,Skeletic,Rhodic","Endoleptic,Endoleptic,Ferralic,Ferrali Cambisol Skeletic,Clayic,Rhodic,Skeletic,Rhodic",1
"Endoleptic,Epileptic,Ferrali Cambisol Alumic,Humic,Hyperdystric","Endoleptic,Epileptic,Ferrali Cambisol Alumic,Humic,Hyperdystric",1
"Endoleptic,Rhodi Cambisol Eutric","Endoleptic,Rhodi Cambisol Eutric",1
"Endopetric Calcisol","Endopetric Calcisol",6
"Endopetric Calcisol Alcalic","Endopetric Calcisol Alcalic",1
"Endopetric Calcisol Arenic","Endopetric Calcisol Arenic",4
"Endopetric Calcisol Aridic","Endopetric Calcisol Aridic",4
"Endopetric Calcisol Endoesqueletic","Endopetric Calcisol Endoesqueletic",1
"Endopetric Calcisol Epiesqueletic","Endopetric Calcisol Epiesqueletic",3
"Endopetric Calcisol Esqueletic","Endopetric Calcisol Esqueletic",3
"Endopetric Calcisol Hipercalcic","Endopetric Calcisol Hipercalcic",9
"Endopetric Calcisol Hipersodic","Endopetric Calcisol Hipersodic",2
"Endopetric Calcisol Hiposodic","Endopetric Calcisol Hiposodic",2
"Endopetric Calcisol Humic","Endopetric Calcisol Humic",6
"Endopetric Calcisol Luvic","Endopetric Calcisol Luvic",13
"Endopetric Calcisol Siltic","Endopetric Calcisol Siltic",1
"Endopetric Calcisol Sodic","Endopetric Calcisol Sodic",5
"Endopetric Durisol Albic","Endopetric Durisol Albic",2
"Endopetric Durisol Cromic","Endopetric Durisol Cromic",1
"Endopetric Durisol Hiposodic","Endopetric Durisol Hiposodic",3
"Endopetric Durisol Luvic","Endopetric Durisol Luvic",5
"Endopetric Gypsisol Aridic","Endopetric Gypsisol Aridic",2
"Endopetric Gypsisol Calcic","Endopetric Gypsisol Calcic",2
"Endopetric Gypsisol Hipergipsic","Endopetric Gypsisol Hipergipsic",5
"Endopetric Gypsisol Hipersodic","Endopetric Gypsisol Hipersodic",1
"Endopetric Gypsisol Sodic","Endopetric Gypsisol Sodic",2
"Endopetric Phaeozem Luvic","Endopetric Phaeozem Luvic",1
"Endopetric Plinthosol","Endopetric Plinthosol",1
"Endopetric,Petric,Luvi,Luvic Calcisol Chromic","Endopetric,Petric,Luvi,Luvic Calcisol Chromic",1
"Endopetrocalcic Calcisol Luvic","Endopetrocalcic Calcisol Luvic",1
"Endopetrocalcic Chernozem Calcic","Endopetrocalcic Chernozem Calcic",2
"Endopetrocalcic Chernozem Hipercalcic","Endopetrocalcic Chernozem Hipercalcic",1
"Endopetrocalcic Chernozem Luvic","Endopetrocalcic Chernozem Luvic",1
"Endopetrocalcic Chernozem Orticalcic","Endopetrocalcic Chernozem Orticalcic",1
"Endopetrocalcic Chernozem Vertic","Endopetrocalcic Chernozem Vertic",1
"Endopetrocalcic Kastanozem Calcic","Endopetrocalcic Kastanozem Calcic",1
"Endopetrocalcic Kastanozem Hipercalcic","Endopetrocalcic Kastanozem Hipercalcic",1
"Endopetrocalcic Kastanozem Humic","Endopetrocalcic Kastanozem Humic",2
"Endopetrocalcic Kastanozem Vertic","Endopetrocalcic Kastanozem Vertic",2
"Endopetrocalcic Phaeozem","Endopetrocalcic Phaeozem",1
"Endopetrocalcic Phaeozem Humic","Endopetrocalcic Phaeozem Humic",2
"Endopetrocalcic Phaeozem Luvic","Endopetrocalcic Phaeozem Luvic",2
"Endopetrocalcic Phaeozem Paquic","Endopetrocalcic Phaeozem Paquic",1
"Endopetrocalcic Phaeozem Vertic","Endopetrocalcic Phaeozem Vertic",3
"Endopetrocalcic Planosol Luvic","Endopetrocalcic Planosol Luvic",1
"Endopetrocalcic Vertisol Esqueletic","Endopetrocalcic Vertisol Esqueletic",1
"Endopetrocalcic Vertisol Hipersodic","Endopetrocalcic Vertisol Hipersodic",1
"Endopetroduric Chernozem Calcic","Endopetroduric Chernozem Calcic",1
"Endopetroduric Chernozem Cromic","Endopetroduric Chernozem Cromic",1
"Endopetroduric Chernozem Orticalcic","Endopetroduric Chernozem Orticalcic",1
"Endopetroduric Durisol Vertic","Endopetroduric Durisol Vertic",1
"Endopetroduric Phaeozem","Endopetroduric Phaeozem",1
"Endopetroduric Phaeozem Abruptic","Endopetroduric Phaeozem Abruptic",1
"Endopetroduric Phaeozem Calcaric","Endopetroduric Phaeozem Calcaric",1
"Endopetroduric Phaeozem Hiposodic","Endopetroduric Phaeozem Hiposodic",1
"Endopetroduric Phaeozem Luvic","Endopetroduric Phaeozem Luvic",6
"Endopetroduric Planosol Albic","Endopetroduric Planosol Albic",1
"Endopetroduric Planosol Molic","Endopetroduric Planosol Molic",2
"Endopetroduric Vertisol Endosodic","Endopetroduric Vertisol Endosodic",1
"Endopetroduric Vertisol Humic","Endopetroduric Vertisol Humic",1
"Endopetroduric Vertisol Mazic","Endopetroduric Vertisol Mazic",2
"Endopetrogipsic Gypsisol Calcic","Endopetrogipsic Gypsisol Calcic",1
"Endopetrogipsic Solonchak Hiposodic","Endopetrogipsic Solonchak Hiposodic",1
"Endopetroplinthic,Petroplinthic,Rhodi Lixisol Hypereutric,Rhodic","Endopetroplinthic,Petroplinthic,Rhodi Lixisol Hypereutric,Rhodic",1
"Endopetroplintic Vertisol Cromic","Endopetroplintic Vertisol Cromic",1
"Endoplintic Acrisol Cromic","Endoplintic Acrisol Cromic",1
"Endosalic Calcisol Clayic,Aridic","Endosalic Calcisol Clayic,Aridic",1
"Endosalic,Calcaric Fluvisol","Endosalic,Calcaric Fluvisol",1
"Endosalic,Calci Gypsisol Luvic","Endosalic,Calci Gypsisol Luvic",1
"Endoskeletic Podzol","Endoskeletic Podzol",1
"Endoskeletic,Folic,Dystri Cambisol Alumic,Humic,Dystric,Endoskeletic","Endoskeletic,Folic,Dystri Cambisol Alumic,Humic,Dystric,Endoskeletic",1
"Endosodic Arenosol Aridic","Endosodic Arenosol Aridic",1
"Endosodic Arenosol Calcaric","Endosodic Arenosol Calcaric",3
"Endosodic Arenosol Hiposalic","Endosodic Arenosol Hiposalic",1
"Endosodic Calcisol","Endosodic Calcisol",1
"Endosodic Calcisol Aridic","Endosodic Calcisol Aridic",2
"Endosodic Calcisol Luvic","Endosodic Calcisol Luvic",7
"Endosodic Cambisol Calcaric","Endosodic Cambisol Calcaric",2
"Endosodic Cambisol Hipocalcic","Endosodic Cambisol Hipocalcic",1
"Endosodic Cambisol Humic","Endosodic Cambisol Humic",1
"Endosodic Gleysol Vertic","Endosodic Gleysol Vertic",2
"Endosodic Luvisol Aridic","Endosodic Luvisol Aridic",1
"Endosodic Luvisol Esqueletic","Endosodic Luvisol Esqueletic",1
"Endosodic Luvisol Rodic","Endosodic Luvisol Rodic",1
"Endosodic Luvisol Vertic","Endosodic Luvisol Vertic",1
"Endosodic Phaeozem Endoleptic","Endosodic Phaeozem Endoleptic",1
"Endosodic Regosol Abruptic","Endosodic Regosol Abruptic",1
"Endosodic Solonchak Gipsiric","Endosodic Solonchak Gipsiric",1
"Endosodic Vertisol Alcalic","Endosodic Vertisol Alcalic",1
"Endosodic Vertisol Calcaric","Endosodic Vertisol Calcaric",3
"Endosodic Vertisol Calcic","Endosodic Vertisol Calcic",3
"Endosodic Vertisol Cromic","Endosodic Vertisol Cromic",1
"Endosodic Vertisol Hipocalcic","Endosodic Vertisol Hipocalcic",1
"Endosodic Vertisol Hiposalic","Endosodic Vertisol Hiposalic",1
"Endosodic Vertisol Pelic","Endosodic Vertisol Pelic",1
"Endosodic,Gleyic Cambisol","Endosodic,Gleyic Cambisol",1
"Endostagnic,Alic,Profondi,Umbric Luvisol Alumic,Hyperdystric","Endostagnic,Alic,Profondi,Umbric Luvisol Alumic,Hyperdystric",1
"Endostagnic,Calcic Solonetz","Endostagnic,Calcic Solonetz",1
"Entic Podzol","Entic Podzol",3
"Entic,Anthri Podzol","Entic,Anthri Podzol",1
"Entic,Carbic Podzol","Entic,Carbic Podzol",1
"Entic,Entic,Endoskeleti Podzol Ruptic,Endoskeletic","Entic,Entic,Endoskeleti Podzol Ruptic,Endoskeletic",1
"Epidistric Arenosol","Epidistric Arenosol",1
"Epidistric Luvisol Cromic","Epidistric Luvisol Cromic",1
"Epidistric Luvisol Rodic","Epidistric Luvisol Rodic",1
"Epidistric Regosol","Epidistric Regosol",1
"Epidystric Cambisol","Epidystric Cambisol",2
"Epidystric,Anthraquic Gleysol","Epidystric,Anthraquic Gleysol",1
"Epidystric,Humic Cambisol","Epidystric,Humic Cambisol",1
"Epiesqueletic Andosol","Epiesqueletic Andosol",1
"Epiesqueletic Calcisol","Epiesqueletic Calcisol",1
"Epiesqueletic Calcisol Endosodic","Epiesqueletic Calcisol Endosodic",1
"Epiesqueletic Calcisol Luvic","Epiesqueletic Calcisol Luvic",1
"Epiesqueletic Cambisol Endoleptic","Epiesqueletic Cambisol Endoleptic",1
"Epiesqueletic Cambisol Eutric","Epiesqueletic Cambisol Eutric",2
"Epiesqueletic Cambisol Ortieutric","Epiesqueletic Cambisol Ortieutric",1
"Epiesqueletic Chernozem Luvic","Epiesqueletic Chernozem Luvic",1
"Epiesqueletic Fluvisol Eutric","Epiesqueletic Fluvisol Eutric",1
"Epiesqueletic Kastanozem Calcic","Epiesqueletic Kastanozem Calcic",1
"Epiesqueletic Leptosol Rendzic","Epiesqueletic Leptosol Rendzic",1
"Epiesqueletic Luvisol Cromic","Epiesqueletic Luvisol Cromic",4
"Epiesqueletic Luvisol Hiperdistric","Epiesqueletic Luvisol Hiperdistric",1
"Epiesqueletic Phaeozem","Epiesqueletic Phaeozem",1
"Epiesqueletic Phaeozem Luvic","Epiesqueletic Phaeozem Luvic",1
"Epiesqueletic Planosol","Epiesqueletic Planosol",1
"Epiesqueletic Planosol Calcaric","Epiesqueletic Planosol Calcaric",1
"Epiesqueletic Planosol Luvic","Epiesqueletic Planosol Luvic",1
"Epiesqueletic Regosol Distric","Epiesqueletic Regosol Distric",1
"Epiesqueletic Regosol Eutric","Epiesqueletic Regosol Eutric",3
"Epiesqueletic Vertisol Calcic","Epiesqueletic Vertisol Calcic",1
"Epiesqueletic Vertisol Cromic","Epiesqueletic Vertisol Cromic",1
"Epiesqueletic Vertisol Humic","Epiesqueletic Vertisol Humic",2
"Epigleyic Chernozem Hipercalcic","Epigleyic Chernozem Hipercalcic",1
"Epigleyic Fluvisol Eutric","Epigleyic Fluvisol Eutric",1
"Epigleyic Fluvisol Humic","Epigleyic Fluvisol Humic",2
"Epigleyic Lixisol","Epigleyic Lixisol",1
"Epigleyic Luvisol Abruptic","Epigleyic Luvisol Abruptic",1
"Epigleyic Phaeozem Humic","Epigleyic Phaeozem Humic",1
"Epigleyic Vertisol Endosodic","Epigleyic Vertisol Endosodic",1
"Epigleyic Vertisol Hipersodic","Epigleyic Vertisol Hipersodic",2
"Epigleyic Vertisol Humic","Epigleyic Vertisol Humic",5
"Epigleyic Vertisol Mazic","Epigleyic Vertisol Mazic",1
"Epileptic Acrisol Cromic","Epileptic Acrisol Cromic",1
"Epileptic Acrisol Humic","Epileptic Acrisol Humic",1
"Epileptic Andosol Umbric","Epileptic Andosol Umbric",1
"Epileptic Calcisol","Epileptic Calcisol",3
"Epileptic Calcisol Aridic","Epileptic Calcisol Aridic",5
"Epileptic Calcisol Esqueletic","Epileptic Calcisol Esqueletic",4
"Epileptic Calcisol Hipersodic","Epileptic Calcisol Hipersodic",3
"Epileptic Calcisol Hiposalic","Epileptic Calcisol Hiposalic",1
"Epileptic Calcisol Hiposodic","Epileptic Calcisol Hiposodic",1
"Epileptic Calcisol Humic","Epileptic Calcisol Humic",4
"Epileptic Calcisol Luvic","Epileptic Calcisol Luvic",5
"Epileptic Calcisol Sodic","Epileptic Calcisol Sodic",1
"Epileptic Calcisol Vertic","Epileptic Calcisol Vertic",1
"Epileptic Cambisol","Epileptic Cambisol",1
"Epileptic Cambisol Aridic","Epileptic Cambisol Aridic",1
"Epileptic Cambisol Calcaric","Epileptic Cambisol Calcaric",4
"Epileptic Cambisol Cromic","Epileptic Cambisol Cromic",2
"Epileptic Cambisol Distric","Epileptic Cambisol Distric",2
"Epileptic Cambisol Epidistric","Epileptic Cambisol Epidistric",1
"Epileptic Cambisol Epiesqueletic","Epileptic Cambisol Epiesqueletic",1
"Epileptic Cambisol Esqueletic","Epileptic Cambisol Esqueletic",6
"Epileptic Cambisol Eutric","Epileptic Cambisol Eutric",3
"Epileptic Cambisol Fluvic","Epileptic Cambisol Fluvic",1
"Epileptic Cambisol Gipsiric","Epileptic Cambisol Gipsiric",1
"Epileptic Cambisol Hiperdistric","Epileptic Cambisol Hiperdistric",1
"Epileptic Cambisol Hipersodic","Epileptic Cambisol Hipersodic",2
"Epileptic Cambisol Hiposodic","Epileptic Cambisol Hiposodic",2
"Epileptic Cambisol Humic","Epileptic Cambisol Humic",14
"Epileptic Cambisol Plintic","Epileptic Cambisol Plintic",1
"Epileptic Cambisol Rodic","Epileptic Cambisol Rodic",1
"Epileptic Cambisol Vertic","Epileptic Cambisol Vertic",3
"Epileptic Chernozem Calcic","Epileptic Chernozem Calcic",4
"Epileptic Chernozem Humic","Epileptic Chernozem Humic",1
"Epileptic Gypsisol Esqueletic","Epileptic Gypsisol Esqueletic",1
"Epileptic Histosol","Epileptic Histosol",1
"Epileptic Kastanozem Calcic","Epileptic Kastanozem Calcic",3
"Epileptic Kastanozem Hipercalcic","Epileptic Kastanozem Hipercalcic",1
"Epileptic Lixisol Epiesqueletic","Epileptic Lixisol Epiesqueletic",1
"Epileptic Lixisol Sodic","Epileptic Lixisol Sodic",1
"Epileptic Luvisol","Epileptic Luvisol",2
"Epileptic Luvisol Abruptic","Epileptic Luvisol Abruptic",9
"Epileptic Luvisol Aridic","Epileptic Luvisol Aridic",2
"Epileptic Luvisol Cutanic","Epileptic Luvisol Cutanic",3
"Epileptic Luvisol Distric","Epileptic Luvisol Distric",5
"Epileptic Luvisol Esqueletic","Epileptic Luvisol Esqueletic",8
"Epileptic Luvisol Eutric","Epileptic Luvisol Eutric",2
"Epileptic Luvisol Hiperdistric","Epileptic Luvisol Hiperdistric",1
"Epileptic Luvisol Hipersodic","Epileptic Luvisol Hipersodic",1
"Epileptic Luvisol Hipocalcic","Epileptic Luvisol Hipocalcic",2
"Epileptic Luvisol Hiposodic","Epileptic Luvisol Hiposodic",3
"Epileptic Luvisol Humic","Epileptic Luvisol Humic",19
"Epileptic Luvisol Rodic","Epileptic Luvisol Rodic",1
"Epileptic Luvisol Sodic","Epileptic Luvisol Sodic",2
"Epileptic Luvisol Umbric","Epileptic Luvisol Umbric",2
"Epileptic Luvisol Umbrihumic","Epileptic Luvisol Umbrihumic",2
"Epileptic Luvisol Vertic","Epileptic Luvisol Vertic",2
"Epileptic Phaeozem","Epileptic Phaeozem",7
"Epileptic Phaeozem Calcaric","Epileptic Phaeozem Calcaric",10
"Epileptic Phaeozem Cromic","Epileptic Phaeozem Cromic",1
"Epileptic Phaeozem Epiesqueletic","Epileptic Phaeozem Epiesqueletic",5
"Epileptic Phaeozem Esqueletic","Epileptic Phaeozem Esqueletic",22
"Epileptic Phaeozem Hiposodic","Epileptic Phaeozem Hiposodic",5
"Epileptic Phaeozem Humic","Epileptic Phaeozem Humic",62
"Epileptic Phaeozem Luvic","Epileptic Phaeozem Luvic",25
"Epileptic Phaeozem Vertic","Epileptic Phaeozem Vertic",8
"Epileptic Planosol Albic","Epileptic Planosol Albic",1
"Epileptic Planosol Esqueletic","Epileptic Planosol Esqueletic",1
"Epileptic Planosol Luvic","Epileptic Planosol Luvic",1
"Epileptic Regosol","Epileptic Regosol",7
"Epileptic Regosol Abruptic","Epileptic Regosol Abruptic",1
"Epileptic Regosol Arenic","Epileptic Regosol Arenic",7
"Epileptic Regosol Aridic","Epileptic Regosol Aridic",8
"Epileptic Regosol Calcaric","Epileptic Regosol Calcaric",26
"Epileptic Regosol Cromic","Epileptic Regosol Cromic",1
"Epileptic Regosol Distric","Epileptic Regosol Distric",8
"Epileptic Regosol Epiesqueletic","Epileptic Regosol Epiesqueletic",6
"Epileptic Regosol Esqueletic","Epileptic Regosol Esqueletic",53
"Epileptic Regosol Eutric","Epileptic Regosol Eutric",19
"Epileptic Regosol Hiperdistric","Epileptic Regosol Hiperdistric",1
"Epileptic Regosol Hipereutric","Epileptic Regosol Hipereutric",1
"Epileptic Regosol Hipersodic","Epileptic Regosol Hipersodic",7
"Epileptic Regosol Hiposalic","Epileptic Regosol Hiposalic",1
"Epileptic Regosol Hiposodic","Epileptic Regosol Hiposodic",5
"Epileptic Regosol Humic","Epileptic Regosol Humic",25
"Epileptic Regosol Rodic","Epileptic Regosol Rodic",1
"Epileptic Regosol Sodic","Epileptic Regosol Sodic",4
"Epileptic Umbrisol","Epileptic Umbrisol",2
"Epileptic Umbrisol Esqueletic","Epileptic Umbrisol Esqueletic",2
"Epileptic Umbrisol Humic","Epileptic Umbrisol Humic",11
"Epileptic Vertisol Calcaric","Epileptic Vertisol Calcaric",2
"Epileptic Vertisol Epiesqueletic","Epileptic Vertisol Epiesqueletic",1
"Epileptic Vertisol Esqueletic","Epileptic Vertisol Esqueletic",9
"Epileptic Vertisol Hiposodic","Epileptic Vertisol Hiposodic",1
"Epileptic Vertisol Humic","Epileptic Vertisol Humic",8
"Epileptic Vertisol Mesotrofic","Epileptic Vertisol Mesotrofic",2
"Epileptic Vertisol Orticalcic","Epileptic Vertisol Orticalcic",1
"Epileptic Vertisol Pelic","Epileptic Vertisol Pelic",1
"Epileptic Vertisol Sodic","Epileptic Vertisol Sodic",2
"Epileptic,Epileptic Umbrisol Humic","Epileptic,Epileptic Umbrisol Humic",1
"Epileptic,Epileptic,Calcari Cambisol Calcaric,Siltic,Chromic,Chromic","Epileptic,Epileptic,Calcari Cambisol Calcaric,Siltic,Chromic,Chromic",1
"Epileptic,Epileptic,Humi Regosol Humic,Eutric,Eutric","Epileptic,Epileptic,Humi Regosol Humic,Eutric,Eutric",1
"Epipetric Calcisol","Epipetric Calcisol",51
"Epipetric Calcisol Arenic","Epipetric Calcisol Arenic",2
"Epipetric Calcisol Aridic","Epipetric Calcisol Aridic",23
"Epipetric Calcisol Epiesqueletic","Epipetric Calcisol Epiesqueletic",3
"Epipetric Calcisol Esqueletic","Epipetric Calcisol Esqueletic",30
"Epipetric Calcisol Hipercalcic","Epipetric Calcisol Hipercalcic",8
"Epipetric Calcisol Hiperesqueletic","Epipetric Calcisol Hiperesqueletic",1
"Epipetric Calcisol Hipersodic","Epipetric Calcisol Hipersodic",4
"Epipetric Calcisol Hiposalic","Epipetric Calcisol Hiposalic",1
"Epipetric Calcisol Hiposodic","Epipetric Calcisol Hiposodic",3
"Epipetric Calcisol Humic","Epipetric Calcisol Humic",27
"Epipetric Calcisol Luvic","Epipetric Calcisol Luvic",14
"Epipetric Calcisol Siltic","Epipetric Calcisol Siltic",1
"Epipetric Calcisol Sodic","Epipetric Calcisol Sodic",10
"Epipetric Calcisol Vertic","Epipetric Calcisol Vertic",1
"Epipetric Durisol","Epipetric Durisol",5
"Epipetric Durisol Albic","Epipetric Durisol Albic",1
"Epipetric Durisol Arenic","Epipetric Durisol Arenic",1
"Epipetric Durisol Calcaric","Epipetric Durisol Calcaric",1
"Epipetric Durisol Cromic","Epipetric Durisol Cromic",4
"Epipetric Durisol Distric","Epipetric Durisol Distric",1
"Epipetric Durisol Hiposodic","Epipetric Durisol Hiposodic",2
"Epipetric Durisol Humic","Epipetric Durisol Humic",1
"Epipetric Durisol Luvic","Epipetric Durisol Luvic",10
"Epipetric Durisol Vertic","Epipetric Durisol Vertic",1
"Epipetric Gypsisol","Epipetric Gypsisol",1
