bze_main_type,bze_subtype,wrb22_name_1,wrb22_name_2,wrb22_quality,USDA_1,USDA_2
BB,LL-SS-BB,Stagnic Cambisols,Dystric Cambisols,3,#N/A,#N/A
BB,e.sLL-BB,Stagnic Cambisols,Dystric Cambisols,3,#N/A,#N/A
BB,lBBn,Eutric Cambisols,Dystric Cambisols,3,Typic Eutropept,Eutrochrept
DD,BB-DD,Haplic Vertisols,,3,#N/A,#N/A
DD,SS-DD,Haplic Vertisols,,3,#N/A,#N/A
GG,GGe,Dystric Gleysols,Eutric Gleysols,3,,
GG,GGh,Mollic Gleysols,,3,Mollic Haplaquept,Typic Haplaquoll
LF,LFn,Chromic Luvisols,Haplic Luvisols,3,Typic Hapludalfs,Typic Haplustalf
LF,SS-LF,Stagnic Luvisols,,3,Aquic Hapludalf,Aeric Epiaqualf
LL,BB-SS-LL,Stagnic Luvisols,,3,Aquic Hapludalf,Aeric Epiaqualf
LL,eBB-LL,Chromic Luvisols,Haplic Luvisols,3,Typic Hapludalfs,Typic Haplustalf
RZ,RZ,Eutric Regosols,Eutric Cambisols,3,Lithic Ustorthent,Typic Ustorthent
YE,GG-YE,Anthrosols,,3,#N/A,#N/A
YK,YK/LL,Luvic Phaeozems,,3,Typic Argiudoll,Pachic Argiustolls
YK,YK/LL-SS,Luvic Phaeozems,Stagnic Phaeozems,3,Typic Argiudoll,Pachic Argiustolls
YK,sYKn,Luvic Phaeozems,Stagnic Phaeozems,3,Typic Argiudoll,Pachic Argiustolls
YU,PP-YU,Anthrosols,,3,#N/A,#N/A
